,time,level,current_num_users_on_floor,overall_num_users_unable_to_find_seat,overall_num_users_didnt_get_preferred_seat,current_num_seats_choped,num_seats_discussion_cubicles
0,2023-04-12 09:00:00,3,14,0,0,0,100
1,2023-04-12 09:30:00,3,14,0,6,0,100
2,2023-04-12 10:00:00,3,18,0,6,0,100
3,2023-04-12 10:30:00,3,18,0,10,0,100
4,2023-04-12 11:00:00,3,23,0,10,4,100
5,2023-04-12 11:30:00,3,23,0,15,4,100
6,2023-04-12 12:00:00,3,32,0,15,10,100
7,2023-04-12 12:30:00,3,32,0,23,10,100
8,2023-04-12 13:00:00,3,33,0,23,10,100
9,2023-04-12 13:30:00,3,33,0,27,10,100
10,2023-04-12 14:00:00,3,37,0,27,10,100
11,2023-04-12 14:30:00,3,37,0,30,10,100
12,2023-04-12 15:00:00,3,39,0,30,3,100
13,2023-04-12 15:30:00,3,39,0,33,3,100
14,2023-04-12 16:00:00,3,33,0,33,2,100
15,2023-04-12 16:30:00,3,33,0,35,2,100
16,2023-04-12 17:00:00,3,33,0,35,4,100
17,2023-04-12 17:30:00,3,33,0,37,4,100
18,2023-04-12 18:00:00,3,31,0,37,5,100
19,2023-04-12 18:30:00,3,31,0,40,5,100
20,2023-04-12 19:00:00,3,24,0,40,4,100
21,2023-04-12 19:30:00,3,24,0,43,4,100
22,2023-04-12 20:00:00,3,10,0,43,2,100
23,2023-04-12 20:30:00,3,10,0,43,2,100
24,2023-04-12 21:00:00,3,0,0,43,0,100
25,2023-04-12 09:00:00,3,11,0,0,0,200
26,2023-04-12 09:30:00,3,11,0,10,0,200
27,2023-04-12 10:00:00,3,19,0,10,1,200
28,2023-04-12 10:30:00,3,19,0,16,1,200
29,2023-04-12 11:00:00,3,22,0,16,4,200
30,2023-04-12 11:30:00,3,22,0,18,4,200
31,2023-04-12 12:00:00,3,32,0,18,12,200
32,2023-04-12 12:30:00,3,32,0,26,12,200
33,2023-04-12 13:00:00,3,43,0,26,11,200
34,2023-04-12 13:30:00,3,43,0,32,11,200
35,2023-04-12 14:00:00,3,44,0,32,10,200
36,2023-04-12 14:30:00,3,44,0,37,10,200
37,2023-04-12 15:00:00,3,41,0,37,2,200
38,2023-04-12 15:30:00,3,41,0,40,2,200
39,2023-04-12 16:00:00,3,37,0,40,6,200
40,2023-04-12 16:30:00,3,37,0,42,6,200
41,2023-04-12 17:00:00,3,34,0,42,5,200
42,2023-04-12 17:30:00,3,34,0,45,5,200
43,2023-04-12 18:00:00,3,32,0,45,5,200
44,2023-04-12 18:30:00,3,32,0,50,5,200
45,2023-04-12 19:00:00,3,25,0,50,3,200
46,2023-04-12 19:30:00,3,25,0,53,3,200
47,2023-04-12 20:00:00,3,15,0,53,1,200
48,2023-04-12 20:30:00,3,15,0,53,1,200
49,2023-04-12 21:00:00,3,0,0,53,0,200
