Step,current_num_users_on_floor,ci_lower,ci_upper
0,5.1,4.651073079729181,5.5489269202708185
1,5.04,4.59924035683997,5.48075964316003
2,11.98,11.301418794209173,12.658581205790828
3,11.98,11.301418794209173,12.658581205790828
4,18.16,17.03370720510516,19.28629279489484
5,18.16,17.03370720510516,19.28629279489484
6,23.82,22.70619911546429,24.93380088453571
7,23.82,22.70619911546429,24.93380088453571
8,29.92,28.605931044536,31.234068955464004
9,29.92,28.605931044536,31.234068955464004
10,37.58,36.048419344662435,39.11158065533756
11,37.58,36.048419344662435,39.11158065533756
12,41.34,39.81454586523187,42.865454134768136
13,41.34,39.81454586523187,42.865454134768136
14,41.96,40.46057561669494,43.45942438330506
15,41.96,40.46057561669494,43.45942438330506
16,38.04,36.639587709251145,39.44041229074885
17,38.04,36.639587709251145,39.44041229074885
18,31.92,30.7321673380362,33.107832661963805
19,31.92,30.7321673380362,33.107832661963805
20,21.94,20.82746892467722,23.052531075322783
21,21.94,20.82746892467722,23.052531075322783
22,8.48,7.8421020963383326,9.117897903661667
23,8.48,7.8421020963383326,9.117897903661667
