,time,level,current_num_users_on_floor,overall_num_users_unable_to_find_seat,overall_num_users_didnt_get_preferred_seat,current_num_seats_choped
0,2023-04-12 09:00:00,3,6,0,0,0
1,2023-04-12 09:30:00,3,6,0,5,0
2,2023-04-12 10:00:00,3,11,0,5,0
3,2023-04-12 10:30:00,3,11,0,9,0
4,2023-04-12 11:00:00,3,17,0,9,2
5,2023-04-12 11:30:00,3,17,0,15,2
6,2023-04-12 12:00:00,3,24,0,15,5
7,2023-04-12 12:30:00,3,24,0,20,5
8,2023-04-12 13:00:00,3,33,0,20,7
9,2023-04-12 13:30:00,3,33,0,28,7
10,2023-04-12 14:00:00,3,36,0,28,16
11,2023-04-12 14:30:00,3,36,0,33,16
12,2023-04-12 15:00:00,3,40,0,33,6
13,2023-04-12 15:30:00,3,40,0,37,6
14,2023-04-12 16:00:00,3,38,0,37,7
15,2023-04-12 16:30:00,3,38,0,39,7
16,2023-04-12 17:00:00,3,34,0,39,6
17,2023-04-12 17:30:00,3,34,0,41,6
18,2023-04-12 18:00:00,3,28,0,41,5
19,2023-04-12 18:30:00,3,28,0,41,5
20,2023-04-12 19:00:00,3,18,0,41,4
21,2023-04-12 19:30:00,3,18,0,42,4
22,2023-04-12 20:00:00,3,11,0,42,1
23,2023-04-12 20:30:00,3,11,0,43,1
24,2023-04-12 21:00:00,3,0,0,43,0
25,2023-04-12 09:00:00,3,12,0,0,0
26,2023-04-12 09:30:00,3,12,0,6,0
27,2023-04-12 10:00:00,3,18,0,6,0
28,2023-04-12 10:30:00,3,18,0,8,0
29,2023-04-12 11:00:00,3,19,0,8,3
30,2023-04-12 11:30:00,3,19,0,8,3
31,2023-04-12 12:00:00,3,28,0,8,7
32,2023-04-12 12:30:00,3,28,0,15,7
33,2023-04-12 13:00:00,3,28,0,15,7
34,2023-04-12 13:30:00,3,28,0,17,7
35,2023-04-12 14:00:00,3,33,0,17,4
36,2023-04-12 14:30:00,3,33,0,22,4
37,2023-04-12 15:00:00,3,36,0,22,6
38,2023-04-12 15:30:00,3,36,0,26,6
39,2023-04-12 16:00:00,3,36,0,26,9
40,2023-04-12 16:30:00,3,36,0,27,9
41,2023-04-12 17:00:00,3,32,0,27,9
42,2023-04-12 17:30:00,3,32,0,28,9
43,2023-04-12 18:00:00,3,22,0,28,4
44,2023-04-12 18:30:00,3,22,0,30,4
45,2023-04-12 19:00:00,3,17,0,30,3
46,2023-04-12 19:30:00,3,17,0,32,3
47,2023-04-12 20:00:00,3,3,0,32,2
48,2023-04-12 20:30:00,3,3,0,32,2
49,2023-04-12 21:00:00,3,0,0,32,0
